key	en	ru
car.car_suv_06	Ragnar	Ragnar
car.car_suv_07	Scamander	Scamander
car.car_suv_08	Tethys	Tethys
car.car_suv_09	Tlaloc	Tlaloc
car.car_trucks_00	Red short container truck	Красный короткий грузовик-контейнеровоз
car.car_trucks_01	Blue container truck	Синий грузовик-контейнеровоз
car.car_trucks_02	Green long container truck	Зелёный длинный грузовик-контейнеровоз
car.car_trucks_03	Yellow short tanker truck	Жёлтый короткий бензовоз
car.car_trucks_04	Orange tanker truck	Оранжевый бензовоз
car.car_trucks_05	Purple long tanker truck	Фиолетовый длинный бензовоз
car.car_trucks_06	White short log truck	Белый короткий лесовоз
car.car_trucks_07	Black log truck	Чёрный лесовоз
car.car_trucks_08	Teal long log truck	Бирюзовый длинный лесовоз
car.car_trucks_09	Pink dump truck	Розовый самосвал
car.car_vans_00	Hercules	Hercules
car.car_vans_01	Limos	Limos
car.car_vans_02	Moros	Moros
car.car_vans_03	Pan_Burger	Pan_Burger
car.car_vans_04	Pan_Donut	Pan_Donut
car.car_vans_05	Pan_HotDog	Pan_HotDog
car.car_vans_06	Pan_IceCream	Pan_IceCream
car.car_vans_07	Pan_Pizza	Pan_Pizza
car.car_vans_08	Peleus	Peleus
car.car_vans_09	Thoth	Thoth
cat.cat_buses	Buses	Автобусы
cat.cat_classicsport	Classic Sports	Классические спорткары
cat.cat_construction	Construction	Стройтехника
cat.cat_emergency	Emergency	Спецслужбы
cat.cat_extreme	Extreme	Экстрим
cat.cat_gta	GT Racing A	Гонки GT A
cat.cat_gtr	GT Racing R	Гонки GT R
cat.cat_hatchbacks	Hatchbacks	Хэтчбеки
cat.cat_monster	Monster Trucks	Монстр-траки
cat.cat_muscle	Muscle Cars	Маслкары
cat.cat_pickups	Pickups	Пикапы
cat.cat_police	Police	Полиция
cat.cat_racing	Racing	Гонки
cat.cat_rally	Rally & Tuning	Ралли и тюнинг
cat.cat_retro	Retro	Ретро
cat.cat_sedans	Sedans	Седаны
cat.cat_service	Emergency & Service	Спецслужбы
cat.cat_special	Special	Особые
cat.cat_sportcoupe	Sport Coupes	Спорткупе
cat.cat_supercars	Supercars	Суперкары
cat.cat_suv	SUVs	Внедорожники
cat.cat_trucks	Trucks	Грузовики
cat.cat_vans	Vans & Food Trucks	Фургоны и фудтраки
ctl.ability1	Find matches	Поиск совпадений
ctl.ability2	Auto-collect	Автосбор совпадений
ctl.ability3	Rack highlight	Подсветка стеллажа
ctl.crouch	Crouch	Присед
ctl.interact	Take	Взять
ctl.jump	Jump	Прыжок
ctl.look	Look around	Обзор
ctl.mouse_key	Mouse	Мышь
ctl.move	Move	Передвижение
ctl.pause	Pause	Пауза
ctl.place	Place on a shelf or throw	Поставить на полку или бросить
ctl.select	Select item in hands	Выбор предмета в руках
ctl.sprint	Sprint	Бег
ctl.wheel_key	Mouse wheel	Колесо мыши
msg.ability_not_ready	Ability is not ready yet	Способность ещё не готова
msg.bomb_spawned	A bomb dropped from the machine, find it in the pile	Из автомата выпала бомба, ищи в куче
msg.collectible_found	Canister found: {0}/{1}	Канистра найдена: {0}/{1}
msg.crate_found	Parts crate: +1	Ящик запчастей: +1
msg.game_complete	All shelves closed. The warehouse is in perfect order!	Все полки закрыты. Склад в полном порядке!
msg.need_item_in_hands	Take something in your hands	Возьми что-нибудь в руки
msg.no_crates	No parts crates	Нет ящиков запчастей
msg.radio_track	Radio: {0}/{1}	Радио: {0}/{1}
msg.register_empty	Register is empty	Касса пуста
msg.register_paid	Register: +${0}	Касса: +${0}
msg.register_progress	Register: {0}/{1}	Касса: {0}/{1}
msg.rotate_device	Rotate your phone to landscape	Поверните телефон горизонтально
msg.slot_reward	You got: {0}	Выпало: {0}
msg.special_maxed	This car is fully upgraded	Машина прокачана полностью
pad.circle	Circle	Круг
pad.cross	Cross	Крест
pad.dpad	D-pad	Крестовина
pad.leftstick	Left stick	Левый стик
pad.leftstickpress	Left stick (press)	Левый стик (нажать)
pad.rightstick	Right stick	Правый стик
pad.rightstickpress	Right stick (press)	Правый стик (нажать)
pad.square	Square	Квадрат
pad.triangle	Triangle	Треугольник
slot_cooldown.desc	Abilities recharge faster	Способности откатываются быстрее
slot_cooldown.name	Faster cooldown	Быстрый откат
slot_crate.desc	+1 crate to upgrade special cars	+1 ящик для прокачки особых машин
slot_crate.name	Parts crate	Ящик запчастей
slot_duration.desc	Find matches and rack highlight last longer	Поиск совпадений и подсветка стеллажа держатся дольше
slot_duration.name	Longer effect	Долгое действие
slot_inventory.desc	+1 inventory slot beyond the terminal	Инвентарь +1 сверх терминала
slot_inventory.name	Extra slot	Ещё один слот
slot_radius.desc	Auto-collect reaches farther	Автосбор тянет машинки с большего расстояния
slot_radius.name	Wider auto-collect	Широкий автосбор
special.step.decals	Decals	Декали
special.step.engine	Engine	Двигатель
special.step.foglight	Roof lights	Противотуманки
special.step.front_bumper	Front bumper	Передний бампер
special.step.headlight	Headlights	Фары
special.step.pipe	Exhaust	Выхлоп
special.step.policelight	Police light	Мигалка
special.step.rear_bumper	Rear bumper	Задний бампер
special.step.spoiler	Spoiler	Спойлер
special.step.turbine	Turbine	Турбина
special.step.wheels	Wheels	Колёса
tut.look	{0} — look around	{0} — повертеть камерой
tut.look_touch	Right half of the screen — look around	Правая половина экрана — повертеть камерой
tut.place	{0} — place it on the highlighted rack	{0} — поставить на подсвеченный стеллаж
tut.place_touch	Place button — the highlighted rack	Кнопка «поставить» — подсвеченный стеллаж
tut.take	{0} — pick up any car	{0} — взять любую машинку
tut.take_touch	Take button — pick up any car	Кнопка «взять» — взять любую машинку
tut.walk	{0} — walk around	{0} — походить
tut.walk_touch	Left stick — walk around	Стик слева — походить
ui.ab1	Find	Поиск
ui.ab2	Auto-collect	Автосбор
ui.ab3	Rack	Стеллаж
ui.back	Back	Назад
ui.balance	Balance	Баланс
ui.buy	Buy	Купить
ui.cancel	Cancel	Отмена
ui.cars	Cars	Машинки
ui.close	Close	Закрыть
ui.collectibles	Canisters	Канистры
ui.controls	Controls	Управление
ui.crates	Parts crates	Ящики запчастей
ui.hint	{0} take · {1} place/throw · {2} select · {3} menu	{0} взять · {1} поставить/бросить · {2} выбрать · {3} меню
ui.language	Language	Язык
ui.max	Max	Макс.
ui.music	Music	Музыка
ui.newgame	Reset progress	Сбросить прогресс
ui.off	Off	Выкл
ui.on	On	Вкл
ui.pause	Pause	Пауза
ui.push_buy	Push buy	Нажми купить
ui.reset_confirm	Reset all progress and start over?	Вы точно хотите сбросить весь прогресс и начать заново?
ui.resume	Resume	Продолжить
ui.save	Save	Сохранить
ui.saved	Saved	Сохранено
ui.sens_x	Horizontal sensitivity	Чувствительность по горизонтали
ui.sens_y	Vertical sensitivity	Чувствительность по вертикали
ui.settings	Settings	Настройки
ui.sfx	Effects	Эффекты
ui.shelves	Shelves	Полки
ui.shuffle	Shuffle the pile	Перемешать кучу
ui.shuffling	Shuffling the pile…	Перемешиваем кучу…
ui.slot	Slot Machine	Слот-машина
ui.slot_bomb	Bomb!	Бомба!
ui.slot_bomb_extra	bomb	бомба
ui.slot_bonus_cd	cooldown ×{0}	откат ×{0}
ui.slot_bonus_duration	duration ×{0}	действие ×{0}
ui.slot_bonus_radius	radius ×{0}	радиус ×{0}
ui.slot_empty	Empty. All rewards are out	Пусто. Все награды выданы
ui.slot_empty_bombs	Rewards are out. Every spin drops a bomb	Награды закончились. Каждый спин даёт бомбу
ui.slot_idle	Every spin gives a reward	Каждое вращение даёт награду
ui.slot_prizes	Prizes	Призы
ui.slot_remaining	Rewards left: {0}	Осталось наград: {0}
ui.special_done	All parts installed	Все детали установлены
ui.special_hold	Hold to upgrade	Удерживай, чтобы улучшить
ui.special_level	Upgrades: {0}/{1}	Улучшений: {0}/{1}
ui.special_max	Maxed out	Максимум
ui.special_next	Next part: {0}	Следующая деталь: {0}
ui.spin	Spin · ${0}	Крутить · ${0}
ui.terminal	Upgrade Terminal	Терминал улучшений
ui.unstuck	Return stuck cars	Вернуть застрявшие машинки
ui.vibration	Vibration	Вибрация
ui.yes	Yes, reset	Да, сбросить
upg_autocollect.desc	Key 2: pulls the same cars nearby into your inventory	Клавиша 2: затягивает такие же машинки поблизости в инвентарь
upg_autocollect.name	Auto-collect	Автосбор совпадений
upg_autoplace.desc	A car thrown into its rack snaps onto a shelf	Брошенная в свой стеллаж машинка сама встаёт на полку
upg_autoplace.name	Auto-place on throw	Авторасстановка при броске
upg_crouch.desc	Hold Ctrl to crouch under shelves	Присед на Ctrl, чтобы собирать под полками
upg_crouch.name	Unlock crouch	Открыть присед
upg_dup_highlight.desc	Key 1: matching cars in the pile glow and float up	Клавиша 1: такие же машинки в куче подсвечиваются и поднимаются в воздух
upg_dup_highlight.name	Find matches	Поиск совпадений
upg_inventory.desc	+1 slot per level, up to 15	+1 слот за уровень, максимум 15
upg_inventory.name	Bigger inventory	Больший инвентарь
upg_range.desc	Take and place cars from farther away	Брать и ставить машинки с большего расстояния
upg_range.name	Longer reach	Большая дальность
upg_shelf_highlight.desc	Key 3: highlights the rack for the car in hand	Клавиша 3: подсвечивает стеллаж категории машинки в руках
upg_shelf_highlight.name	Rack highlight	Подсветка стеллажа
upg_sprint.desc	Hold Shift to run	Бег на Shift
upg_sprint.name	Unlock sprint	Открыть спринт
upg_throw.desc	Cars fly farther	Машинки летят дальше
upg_throw.name	Stronger throw	Более сильный бросок
