key	en	ru	da	de	es	fi	fr	it	ja	ko	nl	no	pl	pt-BR	sv	tr	uk	zh	zh-Hant
ctl.crouch	Crouch	Присед	Duk dig	Ducken	Agacharse	Kyykisty	S'accroupir	Abbassarsi	しゃがむ	앉기	Bukken	Huk deg	Kucanie	Agachar	Huka	Eğil	Присід	蹲下	蹲下
ctl.interact	Take	Взять	Tag	Nehmen	Coger	Ota	Prendre	Prendere	取る	잡기	Pakken	Ta	Weź	Pegar	Ta	Al	Взяти	拾取	拿取
ctl.jump	Jump	Прыжок	Hop	Springen	Saltar	Hyppää	Sauter	Saltare	ジャンプ	점프	Springen	Hopp	Skok	Pular	Hoppa	Zıpla	Стрибок	跳跃	跳躍
ctl.look	Look around	Обзор	Se dig omkring	Umsehen	Mirar alrededor	Katsele ympärille	Regarder autour	Guardarsi intorno	視点移動	시점 이동	Rondkijken	Se deg rundt	Rozglądanie się	Olhar ao redor	Se dig omkring	Etrafa bak	Огляд	环视	環視
ctl.mouse_key	Mouse	Мышь	Mus	Maus	Ratón	Hiiri	Souris	Mouse	マウス	마우스	Muis	Mus	Mysz	Mouse	Mus	Fare	Миша	鼠标	滑鼠
ctl.move	Move	Передвижение	Bevæg dig	Bewegen	Moverse	Liiku	Se déplacer	Muoversi	移動	이동	Bewegen	Bevegelse	Ruch	Mover	Rör dig	Hareket	Рух	移动	移動
ctl.pause	Pause	Пауза	Pause	Pause	Pausa	Tauko	Pause	Pausa	ポーズ	일시정지	Pauze	Pause	Pauza	Pausa	Paus	Duraklat	Пауза	暂停	暫停
ctl.place	Place on a shelf or throw	Поставить на полку или бросить	Sæt på en hylde eller kast	Ins Regal stellen oder werfen	Poner en un estante o lanzar	Aseta hyllylle tai heitä	Poser sur une étagère ou lancer	Mettere su un ripiano o lanciare	棚に置く／投げる	선반에 놓기 / 던지기	Op een plank zetten of werpen	Sett på en hylle eller kast	Postaw na półce lub rzuć	Colocar na prateleira ou jogar	Ställ på ett hyllplan eller kasta	Rafa koy veya fırlat	Поставити на полицю або кинути	放上货架或扔出	放上層架或丟出
ctl.select	Select item in hands	Выбор предмета в руках	Vælg ting i hænderne	Gegenstand in der Hand wählen	Elegir objeto en las manos	Valitse esine käsissä	Choisir l'objet en main	Scegliere l'oggetto in mano	手持ちアイテムの選択	손에 든 아이템 선택	Voorwerp in handen kiezen	Velg gjenstand i hendene	Wybór przedmiotu w rękach	Escolher item nas mãos	Välj föremål i händerna	Eldeki eşyayı seç	Вибір предмета в руках	选择手中物品	選擇手上的物品
ctl.sprint	Sprint	Бег	Sprint	Sprinten	Correr	Juokse	Courir	Correre	ダッシュ	달리기	Sprinten	Løp	Sprint	Correr	Spring	Koş	Біг	疾跑	奔跑
ctl.wheel_key	Mouse wheel	Колесо мыши	Musehjul	Mausrad	Rueda del ratón	Hiiren rulla	Molette	Rotellina del mouse	マウスホイール	마우스 휠	Muiswiel	Musehjul	Kółko myszy	Roda do mouse	Mushjul	Fare tekerleği	Коліщатко миші	鼠标滚轮	滑鼠滾輪
msg.ability_not_ready	Ability is not ready yet	Способность ещё не готова	Evnen er ikke klar endnu	Fähigkeit ist noch nicht bereit	La habilidad aún no está lista	Kyky ei ole vielä valmis	La capacité n'est pas encore prête	L'abilità non è ancora pronta	アビリティはまだ使えない	능력이 아직 준비되지 않았어요	Vaardigheid is nog niet klaar	Evnen er ikke klar enda	Umiejętność jeszcze nie jest gotowa	A habilidade ainda não está pronta	Förmågan är inte redo än	Yetenek henüz hazır değil	Здібність ще не готова	技能还没准备好	技能還沒準備好
msg.bomb_spawned	A bomb dropped from the machine, find it in the pile	Из автомата выпала бомба, ищи в куче	En bombe faldt ud af maskinen, find den i bunken	Eine Bombe ist aus dem Automaten gefallen, such sie im Haufen	Ha caído una bomba de la máquina, búscala en el montón	Koneesta putosi pommi, etsi se kasasta	Une bombe est tombée de la machine, cherche-la dans le tas	Una bomba è caduta dalla macchina, cercala nel mucchio	マシンから爆弾が落ちた。山の中を探そう	기계에서 폭탄이 떨어졌어요. 더미에서 찾아보세요	Er viel een bom uit de machine, zoek hem in de stapel	En bombe falt ut av maskinen, finn den i haugen	Z automatu wypadła bomba, poszukaj jej w stercie	Uma bomba caiu da máquina, procure na pilha	En bomb föll ur maskinen, leta i högen	Makineden bir bomba düştü, yığında ara	З автомата випала бомба, шукай у купі	老虎机掉出一颗炸弹，去车堆里找找	拉霸機掉出一顆炸彈，去車堆裡找找
msg.collectible_found	Canister found: {0}/{1}	Канистра найдена: {0}/{1}	Dunk fundet: {0}/{1}	Kanister gefunden: {0}/{1}	Bidón encontrado: {0}/{1}	Kanisteri löytyi: {0}/{1}	Bidon trouvé : {0}/{1}	Tanica trovata: {0}/{1}	燃料缶を発見: {0}/{1}	연료통 발견: {0}/{1}	Jerrycan gevonden: {0}/{1}	Kanne funnet: {0}/{1}	Znaleziono kanister: {0}/{1}	Galão encontrado: {0}/{1}	Dunk hittad: {0}/{1}	Bidon bulundu: {0}/{1}	Каністру знайдено: {0}/{1}	找到油桶：{0}/{1}	找到油桶：{0}/{1}
msg.crate_found	Parts crate: +1	Ящик запчастей: +1	Reservedelskasse: +1	Ersatzteilkiste: +1	Cajón de piezas: +1	Osalaatikko: +1	Caisse de pièces : +1	Cassetta ricambi: +1	パーツ箱: +1	부품 상자: +1	Onderdelenkist: +1	Delekasse: +1	Skrzynka części: +1	Caixa de peças: +1	Reservdelslåda: +1	Parça kasası: +1	Ящик запчастин: +1	零件箱：+1	零件箱：+1
msg.game_complete	All shelves closed. The warehouse is in perfect order!	Все полки закрыты. Склад в полном порядке!	Alle hylder lukket. Lageret er i perfekt orden!	Alle Fächer geschlossen. Im Lager herrscht perfekte Ordnung!	Todos los estantes cerrados. ¡El almacén está en perfecto orden!	Kaikki hyllyt suljettu. Varasto on täydessä järjestyksessä!	Toutes les étagères sont fermées. L'entrepôt est parfaitement rangé !	Tutti i ripiani sono chiusi. Il magazzino è in perfetto ordine!	すべての棚が完成。倉庫は完璧に片付いた！	모든 선반 완료. 창고가 완벽하게 정리됐어요!	Alle planken gesloten. Het magazijn is helemaal op orde!	Alle hyller er lukket. Lageret er i perfekt orden!	Wszystkie półki zamknięte. W magazynie panuje idealny porządek!	Todas as prateleiras fechadas. O depósito está em perfeita ordem!	Alla hyllor stängda. Lagret är i perfekt ordning!	Tüm raflar kapandı. Depo mükemmel düzende!	Усі полиці закрито. Склад у повному порядку!	所有货架层已完成。仓库井井有条！	所有層架都已完成。倉庫井井有條！
msg.need_item_in_hands	Take something in your hands	Возьми что-нибудь в руки	Tag noget i hænderne	Nimm etwas in die Hand	Coge algo con las manos	Ota jotain käteen	Prends quelque chose en main	Prendi qualcosa in mano	何か手に持とう	손에 무언가를 들어보세요	Pak iets in je handen	Ta noe i hendene	Weź coś do rąk	Pegue algo nas mãos	Ta något i händerna	Eline bir şey al	Візьми щось у руки	先拿点东西在手上	先拿點東西在手上
msg.no_crates	No parts crates	Нет ящиков запчастей	Ingen reservedelskasser	Keine Ersatzteilkisten	No hay cajones de piezas	Ei osalaatikoita	Pas de caisse de pièces	Nessuna cassetta ricambi	パーツ箱がない	부품 상자가 없어요	Geen onderdelenkisten	Ingen delekasser	Brak skrzynek z częściami	Sem caixas de peças	Inga reservdelslådor	Parça kasası yok	Немає ящиків запчастин	没有零件箱	沒有零件箱
msg.radio_track	Radio: {0}/{1}	Радио: {0}/{1}	Radio: {0}/{1}	Radio: {0}/{1}	Radio: {0}/{1}	Radio: {0}/{1}	Radio : {0}/{1}	Radio: {0}/{1}	ラジオ: {0}/{1}	라디오: {0}/{1}	Radio: {0}/{1}	Radio: {0}/{1}	Radio: {0}/{1}	Rádio: {0}/{1}	Radio: {0}/{1}	Radyo: {0}/{1}	Радіо: {0}/{1}	收音机：{0}/{1}	收音機：{0}/{1}
msg.register_empty	Register is empty	Касса пуста	Kassen er tom	Kasse ist leer	La caja está vacía	Kassa on tyhjä	La caisse est vide	La cassa è vuota	レジは空	계산대가 비어 있어요	Kassa is leeg	Kassa er tom	Kasa jest pusta	O caixa está vazio	Kassan är tom	Kasa boş	Каса порожня	收银机是空的	收銀機是空的
msg.register_paid	Register: +${0}	Касса: +${0}	Kasse: +${0}	Kasse: +${0}	Caja: +${0}	Kassa: +${0}	Caisse : +${0}	Cassa: +${0}	レジ: +${0}	계산대: +${0}	Kassa: +${0}	Kasse: +${0}	Kasa: +${0}	Caixa: +${0}	Kassa: +${0}	Kasa: +${0}	Каса: +${0}	收银机：+${0}	收銀機：+${0}
msg.register_progress	Register: {0}/{1}	Касса: {0}/{1}	Kasse: {0}/{1}	Kasse: {0}/{1}	Caja: {0}/{1}	Kassa: {0}/{1}	Caisse : {0}/{1}	Cassa: {0}/{1}	レジ: {0}/{1}	계산대: {0}/{1}	Kassa: {0}/{1}	Kasse: {0}/{1}	Kasa: {0}/{1}	Caixa: {0}/{1}	Kassa: {0}/{1}	Kasa: {0}/{1}	Каса: {0}/{1}	收银机：{0}/{1}	收銀機：{0}/{1}
msg.rotate_device	Rotate your phone to landscape	Поверните телефон горизонтально	Vend din telefon til liggende	Dreh dein Handy ins Querformat	Gira el móvil en horizontal	Käännä puhelin vaaka-asentoon	Tourne ton téléphone en mode paysage	Gira il telefono in orizzontale	スマホを横向きにしよう	휴대폰을 가로로 돌려주세요	Draai je telefoon naar liggend	Snu telefonen til liggende	Obróć telefon poziomo	Gire o celular para a horizontal	Vänd telefonen till liggande läge	Telefonunu yatay çevir	Поверни телефон горизонтально	请把手机横过来	請將手機轉為橫向
msg.slot_reward	You got: {0}	Выпало: {0}	Du fik: {0}	Gewonnen: {0}	Te ha tocado: {0}	Sait: {0}	Tu as gagné : {0}	Hai vinto: {0}	獲得: {0}	획득: {0}	Je kreeg: {0}	Du fikk: {0}	Wypadło: {0}	Você ganhou: {0}	Du fick: {0}	Kazandın: {0}	Випало: {0}	你获得了：{0}	你獲得了：{0}
msg.special_maxed	This car is fully upgraded	Машина прокачана полностью	Denne bil er fuldt opgraderet	Dieses Auto ist voll aufgerüstet	Este coche ya está mejorado al máximo	Tämä auto on täysin päivitetty	Cette voiture est entièrement améliorée	Questa auto è già al massimo	この車は最大まで強化済み	이 차는 업그레이드가 끝났어요	Deze auto is volledig geüpgraded	Denne bilen er ferdig oppgradert	Ten samochodzik jest w pełni ulepszony	Este carrinho já está totalmente melhorado	Den här bilen är fullt uppgraderad	Bu araba tamamen geliştirildi	Машинку прокачано повністю	这辆车已升满	這台車已升滿
slot_cooldown.desc	Abilities recharge faster	Способности откатываются быстрее	Evner genoplader hurtigere	Fähigkeiten laden schneller wieder auf	Las habilidades se recargan más rápido	Kyvyt latautuvat nopeammin	Les capacités se rechargent plus vite	Le abilità si ricaricano più in fretta	アビリティのリチャージが速くなる	능력 재충전이 빨라져요	Vaardigheden laden sneller op	Evnene lades opp raskere	Umiejętności ładują się szybciej	As habilidades recarregam mais rápido	Förmågorna laddas om snabbare	Yetenekler daha hızlı dolar	Здібності перезаряджаються швидше	技能冷却更快	技能冷卻更快
slot_cooldown.name	Faster cooldown	Быстрый откат	Hurtigere cooldown	Schnellere Abklingzeit	Recarga más rápida	Nopeampi palautuminen	Recharge plus rapide	Ricarica più veloce	クールダウン短縮	빠른 재충전	Snellere cooldown	Kortere nedkjøling	Szybsze odnowienie	Recarga mais rápida	Kortare cooldown	Daha kısa bekleme	Швидкий відкат	冷却加速	冷卻加速
slot_crate.desc	+1 crate to upgrade special cars	+1 ящик для прокачки особых машин	+1 kasse til at opgradere specialbiler	+1 Kiste zum Aufrüsten besonderer Autos	+1 cajón para mejorar los coches especiales	+1 laatikko erikoisautojen päivittämiseen	+1 caisse pour améliorer les voitures spéciales	+1 cassetta per potenziare le auto speciali	スペシャルカー強化用の箱 +1	스페셜 카 업그레이드용 상자 +1	+1 kist om speciale auto's te upgraden	+1 kasse til å oppgradere spesialbiler	+1 skrzynka do ulepszania specjalnych samochodzików	+1 caixa para melhorar carrinhos especiais	+1 låda för att uppgradera specialbilar	Özel arabaları geliştirmek için +1 kasa	+1 ящик для прокачки особливих машинок	特别车升级用零件箱 +1	特別車升級用零件箱 +1
slot_crate.name	Parts crate	Ящик запчастей	Reservedelskasse	Ersatzteilkiste	Cajón de piezas	Osalaatikko	Caisse de pièces	Cassetta ricambi	パーツ箱	부품 상자	Onderdelenkist	Delekasse	Skrzynka części	Caixa de peças	Reservdelslåda	Parça kasası	Ящик запчастин	零件箱	零件箱
slot_duration.desc	Find matches and rack highlight last longer	Поиск совпадений и подсветка стеллажа держатся дольше	Find ens biler og fremhæv reol varer længere	Gleiche finden und Regal hervorheben halten länger	Buscar iguales y Resaltar estantería duran más	Vastaavien etsintä ja hyllykön korostus kestävät pidempään	Trouver les mêmes et Surbrillance du rayonnage durent plus longtemps	Trova uguali ed Evidenzia scaffale durano di più	「同じ車を探す」とラックのハイライトが長く続く	같은 차 찾기와 진열대 강조가 더 오래 지속돼요	Gelijke zoeken en stelling markeren duren langer	Finn like og reolmarkering varer lenger	Znajdowanie pasujących i podświetlenie regału działają dłużej	Encontrar iguais e destacar estante duram mais	Hitta lika och markera hylla varar längre	Eşleşenleri bul ve raf ünitesi vurgusu daha uzun sürer	Пошук збігів і підсвітка стелажа тривають довше	查找同款和货架高亮持续更久	尋找同款和貨架標示持續更久
slot_duration.name	Longer effect	Долгое действие	Længere effekt	Längere Wirkung	Efecto más largo	Pidempi vaikutus	Effet prolongé	Effetto più lungo	効果時間アップ	효과 지속 증가	Langer effect	Lengre effekt	Dłuższy efekt	Efeito mais longo	Längre effekt	Daha uzun etki	Довша дія	效果延长	效果延長
slot_inventory.desc	+1 inventory slot beyond the terminal	Инвентарь +1 сверх терминала	+1 plads i inventaret ud over terminalen	+1 Inventarplatz zusätzlich zum Terminal	+1 hueco de inventario además del terminal	+1 inventaariopaikka terminaalin lisäksi	+1 emplacement d'inventaire en plus du terminal	+1 slot inventario oltre al terminale	ターミナルとは別にインベントリ枠 +1	터미널과 별개로 인벤토리 슬롯 +1	+1 inventarisvak bovenop de terminal	+1 plass i inventaret utover terminalen	+1 miejsce w ekwipunku ponad terminal	+1 espaço no inventário além do terminal	+1 plats i inventariet utöver terminalen	Terminalin ötesinde +1 envanter yuvası	+1 слот інвентарю понад термінал	终端上限之外再 +1 格背包	終端機上限之外再 +1 格背包
slot_inventory.name	Extra slot	Ещё один слот	Ekstra plads	Extra-Platz	Hueco extra	Lisäpaikka	Emplacement bonus	Slot extra	追加スロット	추가 슬롯	Extra vak	Ekstra plass	Dodatkowe miejsce	Espaço extra	Extra plats	Ekstra yuva	Додатковий слот	额外格子	額外格子
slot_radius.desc	Auto-collect reaches farther	Автосбор тянет машинки с большего расстояния	Auto-opsamling rækker længere	Auto-Sammeln reicht weiter	La autorrecogida llega más lejos	Automaattikeräys ulottuu kauemmas	La collecte auto porte plus loin	La raccolta automatica arriva più lontano	自動回収の範囲が広がる	자동 수집 범위가 더 넓어져요	Auto-verzamelen reikt verder	Autosamling rekker lenger	Autozbieranie sięga dalej	A coleta automática alcança mais longe	Autoplock når längre	Otomatik toplama daha uzağa ulaşır	Автозбір дістає далі	自动收集范围更大	自動收集範圍更大
slot_radius.name	Wider auto-collect	Широкий автосбор	Bredere auto-opsamling	Größerer Sammelradius	Autorrecogida más amplia	Laajempi automaattikeräys	Collecte auto élargie	Raccolta automatica più ampia	自動回収範囲アップ	넓은 자동 수집	Ruimer auto-verzamelen	Bredere autosamling	Szersze autozbieranie	Coleta automática mais ampla	Bredare autoplock	Daha geniş otomatik toplama	Ширший автозбір	更大收集范围	更大收集範圍
special.step.decals	Decals	Декали	Klistermærker	Aufkleber	Pegatinas	Tarrat	Autocollants	Adesivi	デカール	데칼	Stickers	Dekaler	Naklejki	Adesivos	Dekaler	Çıkartmalar	Наліпки	贴花	貼紙
special.step.engine	Engine	Двигатель	Motor	Motor	Motor	Moottori	Moteur	Motore	エンジン	엔진	Motor	Motor	Silnik	Motor	Motor	Motor	Двигун	引擎	引擎
special.step.foglight	Roof lights	Противотуманки	Taglygter	Dachscheinwerfer	Luces de techo	Kattovalot	Phares de toit	Fari sul tetto	ルーフライト	루프 라이트	Daklampen	Taklys	Światła dachowe	Luzes de teto	Takljus	Tavan lambaları	Фари на даху	车顶灯	車頂燈
special.step.front_bumper	Front bumper	Передний бампер	Forkofanger	Frontstoßstange	Parachoques delantero	Etupuskuri	Pare-chocs avant	Paraurti anteriore	フロントバンパー	앞 범퍼	Voorbumper	Fremre støtfanger	Przedni zderzak	Para-choque dianteiro	Främre stötfångare	Ön tampon	Передній бампер	前保险杠	前保桿
special.step.headlight	Headlights	Фары	Forlygter	Scheinwerfer	Faros	Ajovalot	Phares	Fari	ヘッドライト	헤드라이트	Koplampen	Frontlykter	Reflektory	Faróis	Strålkastare	Farlar	Фари	大灯	大燈
special.step.pipe	Exhaust	Выхлоп	Udstødning	Auspuff	Escape	Pakoputki	Échappement	Scarico	マフラー	배기관	Uitlaat	Eksos	Wydech	Escapamento	Avgasrör	Egzoz	Вихлоп	排气管	排氣管
special.step.policelight	Police light	Мигалка	Politiblink	Blaulicht	Luz de policía	Poliisivalo	Gyrophare	Lampeggiante	ポリスライト	경광등	Zwaailicht	Blålys	Kogut policyjny	Giroflex	Blåljus	Polis lambası	Мигалка	警灯	警示燈
special.step.rear_bumper	Rear bumper	Задний бампер	Bagkofanger	Heckstoßstange	Parachoques trasero	Takapuskuri	Pare-chocs arrière	Paraurti posteriore	リアバンパー	뒤 범퍼	Achterbumper	Bakre støtfanger	Tylny zderzak	Para-choque traseiro	Bakre stötfångare	Arka tampon	Задній бампер	后保险杠	後保桿
special.step.spoiler	Spoiler	Спойлер	Spoiler	Spoiler	Alerón	Spoileri	Spoiler	Spoiler	スポイラー	스포일러	Spoiler	Spoiler	Spojler	Aerofólio	Spoiler	Spoiler	Спойлер	尾翼	尾翼
special.step.turbine	Turbine	Турбина	Turbine	Turbine	Turbina	Turbiini	Turbine	Turbina	タービン	터빈	Turbine	Turbin	Turbina	Turbina	Turbin	Türbin	Турбіна	涡轮	渦輪
special.step.wheels	Wheels	Колёса	Hjul	Räder	Ruedas	Pyörät	Roues	Ruote	ホイール	휠	Wielen	Hjul	Koła	Rodas	Hjul	Tekerlekler	Колеса	轮毂	輪圈
tut.look	{0} — look around	{0} — повертеть камерой	Se dig omkring	Sieh dich um	Mira alrededor	Katsele ympärille	Regarde autour de toi	Guardati intorno	周りを見てみよう	주변을 둘러보세요	Rondkijken	Se deg rundt	Rozejrzyj się	Olhar ao redor	Se dig omkring	Etrafa bak	Озирнутися	环顾四周	環顧四周
tut.look_touch	Right half of the screen — look around	Правая половина экрана — повертеть камерой	Højre halvdel af skærmen — se dig omkring	Rechte Bildschirmhälfte — umsehen	Mitad derecha de la pantalla — mirar alrededor	Näytön oikea puolisko — katsele ympärille	Moitié droite de l'écran — regarder autour	Metà destra dello schermo — guardati intorno	画面右半分 — 視点移動	화면 오른쪽 절반 — 시점 이동	Rechterhelft van het scherm — rondkijken	Høyre halvdel av skjermen — se deg rundt	Prawa połowa ekranu — rozejrzyj się	Metade direita da tela — olhar ao redor	Högra halvan av skärmen — se dig omkring	Ekranın sağ yarısı — etrafa bak	Права половина екрана — повертіти камерою	屏幕右半边 — 环顾四周	螢幕右半邊 — 環顧四周
tut.place	{0} — place it on the highlighted rack	{0} — поставить на подсвеченный стеллаж	Sæt den på den fremhævede reol	Stell es ins markierte Regal	Ponlo en la estantería resaltada	Aseta se korostetulle hyllykölle	Pose-la sur le rayonnage en surbrillance	Mettila sullo scaffale evidenziato	ハイライトされたラックに置こう	강조된 진열대에 놓아 보세요	Zet hem op de gemarkeerde stelling	Sett den på den markerte reolen	Postaw go na podświetlonym regale	Colocar na estante destacada	Ställ den på den markerade hyllan	Vurgulanan raf ünitesine koy	Поставити на підсвічений стелаж	把它放到高亮的货架上	把它放到標示的貨架上
